validator	P1	P2	P3	P4	P5	min	max	spread
938538	991	1085	1042	997	1012	991	1085	94
1020738	991	1085	1027	997	1012	991	1085	94
631624	1007	1062	1036	997	1008	997	1062	65
1283364	1012	1076	1042	1003	1023	1003	1076	73
2178488	1036	1076	1047	1032	1019	1019	1076	57
2156381	1056	1134	1067	1070	1078	1056	1134	78
2080207	1096	1155	1117	1064	1082	1064	1155	91
2080609	1096	1155	1117	1064	1083	1064	1155	91
318683	1101	1092	1117	1070	1082	1070	1117	47
2029772	1081	1188	1097	1104	1110	1081	1188	107
2203537	1126	1196	1144	1094	1113	1094	1196	102
1943917	1168	1232	1172	1144	1163	1144	1232	88
1283401	1167	1239	1147	1158	1159	1147	1239	92
1931330	1187	1246	1212	1154	1174	1154	1246	92
415051	1176	1231	1202	1158	1178	1158	1231	73
1768635	1176	1231	1192	1159	1177	1159	1231	72
2074484	1217	1286	1242	1187	1202	1187	1286	99
2225479	1207	1246	1227	1191	1207	1191	1246	55
2051594	1222	1286	1242	1191	1207	1191	1286	95
723229	1222	1286	1192	1198	1198	1192	1286	94
2158904	1237	1223	1246	1209	1216	1209	1246	37
2079103	1261	1318	1242	1243	1213	1213	1318	105
2115412	1260	1325	1284	1239	1221	1221	1325	104
10691	1237	1318	1261	1223	1239	1223	1318	95
1778817	1261	1305	1261	1250	1247	1247	1305	58
2032315	1326	1367	1279	1290	1249	1249	1367	118
1278622	1311	1361	1353	1290	1273	1273	1361	88
933885	1296	1332	1286	1290	1284	1284	1332	48
632283	1301	1347	1293	1290	1285	1285	1347	62
724180	1326	1361	1317	1306	1309	1306	1361	55
1665814	1384	1455	1348	1378	1364	1348	1455	107
1801284	1361	1394	1383	1349	1362	1349	1394	45
2060748	1391	1388	1408	1366	1369	1366	1408	42
1831198	1401	1469	1416	1378	1403	1378	1469	91
2013223	1426	1507	1452	1387	1413	1387	1507	120
174635	1451	1476	1422	1437	1449	1422	1476	54
248035	1506	1530	1448	1481	1469	1448	1530	82
1185309	1511	1531	1448	1481	1469	1448	1531	83
2041901	1606	1673	1568	1594	1610	1568	1673	105
1016601	1678	1690	1649	1662	1654	1649	1690	41
2153285	1891	1951	1893	1894	1915	1891	1951	60
706349	2001	2061	2028	1961	1995	1961	2061	100
1787095	1976	2023	1973	1969	1995	1969	2023	54
829609	2066	2157	2088	2076	2064	2064	2157	93
1660899	2082	2157	2098	2076	2073	2073	2157	84
815199	2096	2199	2098	2125	2138	2096	2199	103
1420286	2161	2207	2143	2149	2141	2141	2207	66
1934188	2216	2293	2214	2201	2169	2169	2293	124
447172	2171	2286	2173	2187	2203	2171	2286	115
1661338	2271	2368	2223	2272	2269	2223	2368	145
1491253	2246	2286	2228	2237	2249	2228	2286	58
1490760	2256	2293	2228	2251	2249	2228	2293	65
733699	2308	2372	2309	2296	2259	2259	2372	113
1830831	2441	2314	2453	2446	2449	2314	2453	139
2197759	2357	2387	2373	2350	2337	2337	2387	50
2109189	2386	2454	2378	2377	2388	2377	2454	77
2202821	2456	2484	2443	2425	2413	2413	2484	71
2041323	2481	2484	2453	2463	2488	2453	2488	35
2116666	2476	2521	2463	2460	2477	2460	2521	61
1758754	2516	2581	2523	2498	2469	2469	2581	112
628900	2506	2581	2513	2504	2492	2492	2581	89
1957806	2566	2633	2563	2574	2517	2517	2633	116
1353838	2586	2633	2583	2591	2587	2583	2633	50
694212	2586	2664	2593	2585	2592	2585	2664	79
1777621	3603	3675	3614	3606	3598	3598	3675	77
